Latitude,Longitude,Number of Structures,Type of building,Building Material,No of storeys,Type of Building Registration,Use of building,Total No. of Family Member,Gender: Male,Gender: Female,Gender: Others,Physically Disabled,Source of Income,Average Salary,Crops Harvest,Irrigation Facility,Electricity Facility,Road Acces,Nearest Health Facility,Animal Husbandary,No. of old member
27.4270359,85.062605,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,8,5,3,,0,Agriculture,20000,Maize,Rain Water,Yes,Yes,5 km,Goat,1
27.453233,85.0454309,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,थाहा नभएको ,Others,,,,,0,Agriculture,0,"Paddy, Wheat, Maize",Yes,Yes,Yes,6km,,
27.4271131,85.0654089,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Residential,,,,,,,,"Maize, Millet",No,Yes,Yes,7km,Chicken,1
27.4527207,85.0452777,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,,,,,,Agriculture,,"Paddy, Wheat, Maize",,Yes,Yes,6km,,
27.4277035,85.0688644,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,7km,Chicken,0
27.4524795,85.0453591,2,स्थायी भवन,"जस्तापाता, आर.सी.सी.",2,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,0,"Agriculture, Foreign Employment",20k,"Paddy, Wheat, Maize",Rain Water,Yes,Yes,6km,"Chicken, Goat",1
27.4281287,85.0698725,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,7km,Goat,0
27.4520798,85.0461102,1,स्थायी भवन,आर.सी.सी.,1,थाहा नभएको ,Others,,,,,0,Agriculture,,"Maize, Paddy",Rain Water,Yes,Yes,6km,,
27.4276574,85.0652744,2,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Business,14000,"Maize, Millet",No,Yes,Yes,7km,Goat,2
27.4525199,85.0470042,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,नक्सा पास् र सम्पन्न भएको,Residential,13,7,6,,0,"Agriculture, Foreign Employment",50k,"Maize, Paddy, Wheat, Millet",,Yes,Yes,6km,"Buffalo, Chicken, Goat",2
27.4278853,85.0657502,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,4,3,1,,0,Agriculture,12000,"Maize, Millet",No,Yes,Yes,8km,Cow,0
27.451379,85.0472893,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Others,,,,,0,Agriculture,0,"Maize, Paddy, Wheat, Millet",,Yes,Yes,6km,,
27.4281821,85.0661541,2,स्थायी भवन,"जस्तापाता, आर.सी.सी.",2,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,Teaching,23000,"Maize, Millet",No,Yes,Yes,8km,"Cow, Goat",0
27.4509545,85.0471533,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Others,,,,,,Agriculture,,"Maize, Paddy, Wheat, Millet",,Yes,Yes,6km,,
27.4520933,85.0483491,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Others,,,,,,Agriculture,,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,,
